v-id,summary,legacy-id
V-218786,Both the log file and Event Tracing for Windows (ETW) for the IIS 10.0 web server must be enabled.,V-76683
V-218787,An IIS 10.0 web server behind a load balancer or proxy server must produce log records containing the source client IP and destination information.,V-76685
V-218788,The IIS 10.0 web server must produce log records that contain sufficient information to establish the outcome (success or failure) of IIS 10.0 web server events.,V-76687
V-218789,The IIS 10.0 web server must produce log records containing sufficient information to establish the identity of any user/subject or process associated with an event.,V-76689
V-218790,The log information from the IIS 10.0 web server must be protected from unauthorized modification or deletion.,V-76695
V-218791,The log data and records from the IIS 10.0 web server must be backed up onto a different system or media.,V-76697
V-218793,The IIS 10.0 web server must only contain functions necessary for operation.,V-76701
V-218794,The IIS 10.0 web server must not be both a website server and a proxy server.,V-76703
V-218795,"All IIS 10.0 web server sample code, example applications, and tutorials must be removed from a production IIS 10.0 server.",V-76705
V-241789,ASP.NET version must be removed from the HTTP Response Header information.,
V-218796,"The accounts created by uninstalled features (i.e., tools, utilities, specific, etc.) must be deleted from the IIS 10.0 server.",V-76707
V-218797,"The IIS 10.0 web server must be reviewed on a regular basis to remove any Operating System features, utility programs, plug-ins, and modules not necessary for operation.",V-76709
V-218798,The IIS 10.0 web server must have Multipurpose Internet Mail Extensions (MIME) that invoke OS shell programs disabled.,V-76711
V-218801,Java software installed on a production IIS 10.0 web server must be limited to .class files and the Java Virtual Machine.,V-76717
V-218804,The IIS 10.0 web server must use cookies to track session state.,V-76725
V-218807,The production IIS 10.0 web server must utilize SHA2 encryption for the Machine Key.,V-76731
V-218808,Directory Browsing on the IIS 10.0 web server must be disabled.,V-76733
V-218809,The IIS 10.0 web server Indexing must only index web content.,V-76735
V-241788,HTTPAPI Server version must be removed from the HTTP Response Header information.,V-76737
V-218812,The IIS 10.0 web server must restrict inbound connections from non-secure zones.,V-76741
V-218814,IIS 10.0 web server system files must conform to minimum file permission requirements.,V-76745
V-218815,The IIS 10.0 web server must use a logging mechanism configured to allocate log record storage capacity large enough to accommodate the logging requirements of the IIS 10.0 web server.,V-76747
V-218816,Access to web administration tools must be restricted to the web manager and the web managers designees.,V-76749
V-218792,The IIS 10.0 web server must not perform user management for hosted applications.,
V-218817,The IIS 10.0 web server must not be running on a system providing any other role.,V-76751
V-218818,The Internet Printing Protocol (IPP) must be disabled on the IIS 10.0 web server.,V-76753
V-218803,The IIS 10.0 web server must separate the hosted applications from hosted web server management functionality.,
V-218806,The IIS 10.0 web server must augment re-creation to a stable and known baseline.,
V-218813,The IIS 10.0 web server must provide the capability to immediately disconnect or disable remote access to the hosted applications.,
V-218819,The IIS 10.0 web server must be tuned to handle the operational requirements of the hosted application.,V-76755
V-218820,IIS 10.0 web server session IDs must be sent to the client using TLS.,V-76757
V-218821,An IIS 10.0 web server must maintain the confidentiality of controlled information during transmission through the use of an approved Transport Layer Security (TLS) version.,V-76759
V-218822,The IIS 10.0 web server must maintain the confidentiality of controlled information during transmission through the use of an approved Transport Layer Security (TLS) version.,V-76759
V-218823,All accounts installed with the IIS 10.0 web server software and tools must have passwords assigned and default passwords changed.,V-76765
V-218824,Unspecified file extensions on a production IIS 10.0 web server must be removed.,V-76769
V-218825,The IIS 10.0 web server must have a global authorization rule configured to restrict access.,V-76771
V-218826,The IIS 10.0 websites MaxConnections setting must be configured to limit the number of allowed simultaneous session requests.,V-76773
V-268325,The Request Smuggling filter must be enabled.,V-76775
V-218735,The IIS 10.0 website session state must be enabled.,V-76775
V-218736,The IIS 10.0 website session state cookie settings must be configured to Use Cookies mode.,V-76777
V-218737,A private IIS 10.0 website must only accept Secure Socket Layer (SSL) connections.,V-76779
V-228572,An IIS Server configured to be a SMTP relay must require authentication.,
V-218738,A public IIS 10.0 website must only accept Secure Socket Layer (SSL) connections when authentication is required.,V-76781
V-218739,Both the log file and Event Tracing for Windows (ETW) for each IIS 10.0 website must be enabled.,V-76785
